GameId,TotalMatchesA,TotalWinsA,TotalLossesA,TotalPointsA,TotalScoreForA,TotalScoreAgainstA,TotalMatchesB,TotalWinsB,TotalLossesB,TotalPointsB,TotalScoreForB,TotalScoreAgainstB,Winner
100016571,28,16,12,48,18,12,28,13,15,39,13,17,B
100016572,29,17,11,51,19,14,29,13,16,39,14,19,A
100016559,29,12,17,36,14,20,29,21,8,63,24,10,B
100016560,28,13,15,39,13,17,29,17,11,51,19,14,B
100016561,29,12,17,36,14,20,29,17,11,51,19,14,B
100016562,29,21,8,63,24,10,29,17,11,51,19,14,A
100016190,25,16,9,48,0,0,25,17,8,51,0,0,A
100016191,24,6,18,18,0,0,25,7,18,21,0,0,A
100016192,25,14,11,42,0,0,25,14,11,42,0,0,A
100016193,24,16,8,48,0,0,25,12,13,36,0,0,A
100016194,25,9,16,27,0,0,25,13,12,39,0,0,A
100016195,25,14,11,42,0,0,24,16,8,48,0,0,B
100016196,25,13,12,39,0,0,25,12,13,36,0,0,B
100016197,25,17,8,51,0,0,25,9,16,27,0,0,A
100016198,25,7,18,21,0,0,25,16,9,48,0,0,B
100016199,25,14,11,42,0,0,24,6,18,18,0,0,B
100016200,25,16,9,48,0,0,25,14,11,42,0,0,B
100016201,25,12,13,36,0,0,25,7,18,21,0,0,B
100016202,25,13,12,39,0,0,24,6,18,18,0,0,A
100016203,25,17,8,51,0,0,24,16,8,48,0,0,B
100016204,25,9,16,27,0,0,25,14,11,42,0,0,B
100016205,24,6,18,18,0,0,25,12,13,36,0,0,B
100016206,25,14,11,42,0,0,25,17,8,51,0,0,A
100016207,24,16,8,48,0,0,25,9,16,27,0,0,A
100016208,25,16,9,48,0,0,25,13,12,39,0,0,B
100016209,25,14,11,42,0,0,25,7,18,21,0,0,B
100016210,25,17,8,51,0,0,25,14,11,42,0,0,A
100016211,25,9,16,27,0,0,24,6,18,18,0,0,B
100016212,25,7,18,21,0,0,25,13,12,39,0,0,A
100016213,25,12,13,36,0,0,25,14,11,42,0,0,B
100016214,24,16,8,48,0,0,25,16,9,48,0,0,A
100016215,25,13,12,39,0,0,25,14,11,42,0,0,B
100016216,25,12,13,36,0,0,25,17,8,51,0,0,A
100016217,24,6,18,18,0,0,25,14,11,42,0,0,B
100016218,25,9,16,27,0,0,25,16,9,48,0,0,B
100016219,25,7,18,21,0,0,24,16,8,48,0,0,A
100016220,24,16,8,48,0,0,24,6,18,18,0,0,A
100016221,25,14,11,42,0,0,25,9,16,27,0,0,A
100016222,25,17,8,51,0,0,25,13,12,39,0,0,A
100016223,25,14,11,42,0,0,25,7,18,21,0,0,A
100016224,25,16,9,48,0,0,25,12,13,36,0,0,A
100016225,25,9,16,27,0,0,25,7,18,21,0,0,B
100016226,25,14,11,42,0,0,25,16,9,48,0,0,A
100016227,25,13,12,39,0,0,24,16,8,48,0,0,A
100016228,25,14,11,42,0,0,25,12,13,36,0,0,A
100016229,24,6,18,18,0,0,25,17,8,51,0,0,A
100016230,25,13,12,39,0,0,25,14,11,42,0,0,B
100016231,24,16,8,48,0,0,25,14,11,42,0,0,B
100016232,25,7,18,21,0,0,25,17,8,51,0,0,B
100016233,25,12,13,36,0,0,25,9,16,27,0,0,B
100016234,24,6,18,18,0,0,25,16,9,48,0,0,B
100016235,25,12,13,36,0,0,24,16,8,48,0,0,A
100016236,25,14,11,42,0,0,25,14,11,42,0,0,A
100016237,25,13,12,39,0,0,25,9,16,27,0,0,A
100016238,25,17,8,51,0,0,25,16,9,48,0,0,A
100016239,25,7,18,21,0,0,24,6,18,18,0,0,B
100016240,25,9,16,27,0,0,25,17,8,51,0,0,B
100016241,25,16,9,48,0,0,25,7,18,21,0,0,A
100016242,24,16,8,48,0,0,25,14,11,42,0,0,B
100016243,24,6,18,18,0,0,25,14,11,42,0,0,B
100016244,25,12,13,36,0,0,25,13,12,39,0,0,B
100016245,25,14,11,42,0,0,25,16,9,48,0,0,A
100016246,24,6,18,18,0,0,25,13,12,39,0,0,B
100016247,24,16,8,48,0,0,25,17,8,51,0,0,A
100016248,25,14,11,42,0,0,25,9,16,27,0,0,B
100016249,25,7,18,21,0,0,25,12,13,36,0,0,B
100016250,25,12,13,36,0,0,24,6,18,18,0,0,A
100016251,25,9,16,27,0,0,24,16,8,48,0,0,B
100016252,25,13,12,39,0,0,25,16,9,48,0,0,B
100016253,25,7,18,21,0,0,25,14,11,42,0,0,B
100016254,25,17,8,51,0,0,25,14,11,42,0,0,A
100016255,25,13,12,39,0,0,25,7,18,21,0,0,B
100016256,25,16,9,48,0,0,24,16,8,48,0,0,A
100016257,25,14,11,42,0,0,25,12,13,36,0,0,A
100016258,24,6,18,18,0,0,25,9,16,27,0,0,B
100016259,25,14,11,42,0,0,25,17,8,51,0,0,B
100016260,25,16,9,48,0,0,25,9,16,27,0,0,A
100016261,25,14,11,42,0,0,25,13,12,39,0,0,B
100016262,24,16,8,48,0,0,25,7,18,21,0,0,A
100016263,25,14,11,42,0,0,24,6,18,18,0,0,A
100016264,25,17,8,51,0,0,25,12,13,36,0,0,A
100016265,25,7,18,21,0,0,25,14,11,42,0,0,B
100016266,25,13,12,39,0,0,25,17,8,51,0,0,B
100016267,24,6,18,18,0,0,24,16,8,48,0,0,B
100016268,25,12,13,36,0,0,25,16,9,48,0,0,B
100016269,25,9,16,27,0,0,25,14,11,42,0,0,B
100016270,25,16,9,48,0,0,25,14,11,42,0,0,A
100016271,25,17,8,51,0,0,24,6,18,18,0,0,A
100016272,25,12,13,36,0,0,25,14,11,42,0,0,A
100016273,25,7,18,21,0,0,25,9,16,27,0,0,A
100016274,24,16,8,48,0,0,25,13,12,39,0,0,B
100016275,25,17,8,51,0,0,25,7,18,21,0,0,A
100016276,25,16,9,48,0,0,24,6,18,18,0,0,A
100016277,25,9,16,27,0,0,25,12,13,36,0,0,A
100016278,25,14,11,42,0,0,24,16,8,48,0,0,B
100016279,25,14,11,42,0,0,25,13,12,39,0,0,B
100016280,19,12,6,36,26,13,18,13,4,39,25,10,A
100016281,16,8,4,24,15,11,14,3,9,9,7,16,A
100016282,14,4,8,12,8,13,19,12,6,36,19,14,B
100016283,14,3,9,9,6,16,9,1,8,3,1,10,A
100016284,16,8,4,24,15,11,14,3,9,9,6,16,A
100016285,19,12,6,36,26,13,14,3,9,9,7,16,A
100016286,19,12,6,36,19,14,18,13,4,39,25,10,A
100016287,14,4,8,12,8,13,9,1,8,3,1,10,A
100016288,9,1,8,3,1,10,14,3,9,9,7,16,B
100016289,19,12,6,36,26,13,19,12,6,36,19,14,B
100016290,14,3,9,9,6,16,18,13,4,39,25,10,B
